"country","totalCO2emission","pop2022"
"SOMALIA","166","16841.7950"
"FAROE ISLANDS","163","49.2330"
"BERMUDA","157","61.9390"
"CAYMAN ISLANDS","148","67.2770"
"ANTIGUA AND BARBUDA","145","99.5090"
"GIBRALTAR","144","33.7040"
"GAMBIA","140","2558.4820"
"GREENLAND","138","56.9730"
"SEYCHELLES","135","99.4260"
"BELIZE","135","412.1900"
"CAPE VERDE","134","567.6780"
"TIMOR-LESTE","128","1369.4290"
"ANDORRA","126","77.4630"
"BURUNDI","120","12624.8400"
"SAINT LUCIA","111","185.1130"
"CENTRAL AFRICAN REPUBLIC","82","5016.6780"
"GUINEA-BISSAU","74","2063.3670"
"PALAU","71","18.2330"
"GRENADA","66","113.4750"
"SAINT KITTS and NEVIS","63","53.8710"
"SAINT VINCENT and THE GRENADINES","57","111.5510"
"TURKS AND CAICOS ISLANDS","56","39.7410"
"SOLOMON ISLANDS","55","721.1590"
"SAMOA","54","202.2390"
"BRITISH VIRGIN ISLANDS","49","30.5960"
"VANUATU","42","321.8320"
"COMOROS","42","907.4190"
"MICRONESIA","41","117.4890"
"ANGUILLA","39","15.2300"
"DOMINICA","37","72.3440"
"TONGA","33","107.7490"
"SAO TOME AND PRINCIPE","31","227.6790"
"MARSHALL ISLANDS","28","60.0570"
"SAINT PIERRE AND MIQUELON","21","5.7590"
"COOK ISLANDS","19","17.5710"
"KIRIBATI","17","123.4190"
"FALKLAND ISLANDS","15","3.5390"
"MONTSERRAT","13","4.9650"
"NAURU","13","10.9030"
"LIECHTENSTEIN","12","38.3870"
"WALLIS AND FUTUNA","6","10.9820"
"NIUE","3","1.6220"
"TUVALU","3","12.0660"
